product_id,product_name,product_desc,search_tag
1,"Men's Checkered Casual Spread Shirt","men's shirts","men's shirt"
2,"Regular Women's Black Jeans","women jeans","women jeans"
3,"Full Sleeve Solid Men's Sweatshirt","mens sweatshirt","mens sweatshirt"
4,"Solid Men Round Neck White T-Shirt","Fabric: cotten","mens t.shirt"
5,"Men's Solid Straight Kurta","Fabric: cotten","mens kurthas"
6,"Full Sleeve Solid Men Jacket","color:  khaki","men's jackets"
7,"Casual Full Sleeve Solid Women's Light Blue Top","high neck,full sleeves",top's
8,"Boy's Solid Cotton T Shirt","Brand color: yellow"," kids t shirts"
9,"Tapered Fit Men Blue Jeans","Fabric: 80% Cotton 20% Polyester","men's jeans"
10,"Regular Boys Blue Jeans","Fabric: 77% Cotton, 21.5% Polyester and 1.5% Elastane","kid's jeans"
11,"Boy's Festive & Party Kurta","Brand Color: PINK","kid's kurtha set"
12,"Embroidered Bollywood Light Green, Light Blue Georgette Saree","Pattern: Embroidered",sarees
13,"Saara Poly Chanderi Embroidered Kurta & Churidar Material ","Occasion: Party & Festive",chudidhar
